anio,PRCPTOT,SDII,CWD,CDD,R10mm,R20mm,R40mm,R95pTOT,R99pTOT,Rx1day,Rx5day,FD,SU,ID,TR,TXx,TNx,TXn,TNn,TN10p,TX10p,TN90p,TX90p,WSDI,CSDI,DTR,GSL
1996,973.3,14.78153846153846,4.0,25.0,29.0,17.0,6.0,183.0,0.0,69.0,104.3,20,124,0,12,35.9,22.4,7.3,-4.2,12.021857923497267,8.469945355191257,14.207650273224044,10.92896174863388,8,0,10.425409836065574,
1997,1020.7,15.31060606060606,5.0,30.0,37.0,20.0,4.0,138.0,81.0,81.0,89.0,7,109,0,20,33.9,23.8,7.3,-2.5,6.8493150684931505,9.04109589041096,16.43835616438356,15.890410958904111,15,0,9.878082191780821,
1998,985.5999999999999,16.82758620689655,6.0,25.0,27.0,17.0,7.0,301.0,113.0,113.0,114.0,3,89,0,11,33.6,22.4,11.0,-1.2,9.04109589041096,8.493150684931507,9.863013698630137,3.8356164383561646,0,0,9.886027397260275,
1999,960.7,12.526315789473685,5.0,24.0,30.0,15.0,6.0,221.0,0.0,61.0,103.0,9,104,0,21,37.7,23.9,8.5,-3.0,11.232876712328768,8.767123287671232,10.95890410958904,6.027397260273973,0,0,10.026027397260274,
2000,1342.1,18.232876712328768,6.0,32.0,43.0,24.0,10.0,410.3,0.0,74.4,150.0,6,113,0,16,34.7,23.4,6.0,-1.6,7.923497267759563,8.743169398907105,10.382513661202186,6.284153005464481,0,0,9.611748633879781,
2001,1316.3,14.17608695652174,7.0,21.0,41.0,25.0,6.0,187.0,0.0,63.0,160.0,5,108,0,38,35.1,24.5,9.0,-2.8,6.575342465753424,8.493150684931507,24.93150684931507,13.150684931506849,0,0,9.267397260273972,
2002,1495.8,16.13804347826087,7.0,26.0,43.0,23.0,12.0,480.0,274.0,97.0,168.0,9,107,0,17,34.0,23.6,8.6,-3.2,6.027397260273973,10.41095890410959,15.890410958904111,8.493150684931507,0,0,9.50054794520548,
2003,940.0,10.951764705882352,4.0,19.0,31.0,15.0,2.0,137.0,85.0,85.0,129.5,8,107,0,24,37.0,27.4,9.9,-1.8,12.602739726027398,10.136986301369863,14.794520547945206,7.123287671232877,0,0,10.285205479452056,
2004,860.2,12.840909090909092,4.0,33.0,30.0,15.0,4.0,112.0,0.0,63.0,98.9,5,128,0,21,36.7,23.2,8.4,-2.3,9.289617486338798,7.377049180327869,16.120218579234972,13.934426229508196,17,0,10.170765027322405,
2005,926.5999999999999,13.597014925373134,3.0,19.0,33.0,13.0,6.0,233.0,0.0,68.0,112.0,8,108,0,18,37.2,23.5,8.8,-1.0,12.876712328767123,8.21917808219178,13.150684931506849,12.32876712328767,0,0,10.671780821917809,
2006,1088.8999999999999,14.641891891891891,5.0,20.0,37.0,18.0,3.0,247.0,117.0,117.0,143.0,6,105,0,18,34.4,24.2,8.8,-2.0,8.493150684931507,10.41095890410959,12.876712328767123,10.41095890410959,0,0,10.401369863013699,
2007,1130.2,15.356164383561644,6.0,41.0,36.0,17.0,7.0,264.0,0.0,79.0,146.0,15,126,0,13,37.8,24.4,4.8,-3.4,14.520547945205479,12.876712328767123,9.863013698630137,8.767123287671232,0,0,10.693972602739727,
2008,628.5,12.137254901960784,6.0,23.0,17.0,11.0,3.0,105.0,0.0,55.0,119.0,13,144,0,33,37.0,23.2,8.7,-2.7,10.382513661202186,4.644808743169399,14.207650273224044,16.39344262295082,14,0,11.033060109289618,
2009,1036.5,14.492957746478874,5.0,28.0,32.0,18.0,4.0,208.0,0.0,72.0,101.0,10,132,0,22,37.3,22.2,7.2,-4.3,10.136986301369863,7.397260273972603,12.876712328767123,12.876712328767123,6,0,10.793698630136987,
2010,1012.3,15.453846153846154,3.0,26.0,33.0,17.0,7.0,322.0,0.0,61.0,117.0,7,112,0,26,36.0,25.2,8.2,-5.4,8.767123287671232,6.575342465753424,12.602739726027398,7.397260273972603,0,0,10.545479452054794,
2011,791.5999999999999,13.271186440677965,3.0,25.0,26.0,12.0,4.0,121.0,0.0,66.0,87.0,17,123,0,19,33.5,22.5,8.3,-3.8,12.602739726027398,5.7534246575342465,9.58904109589041,9.315068493150685,0,0,10.941917808219179,
2012,1122.7,17.046153846153846,4.0,21.0,37.0,21.0,6.0,251.0,0.0,75.0,95.7,13,122,0,29,38.4,25.8,9.0,-4.3,7.650273224043716,7.377049180327869,13.934426229508196,16.120218579234972,0,0,10.389071038251364,
2013,1082.8,19.160714285714285,4.0,39.0,27.0,19.0,7.0,410.0,263.0,181.0,196.2,17,117,0,29,39.0,25.0,6.5,-2.6,12.876712328767123,11.506849315068493,14.246575342465754,14.520547945205479,0,0,10.80109589041096,
2014,1497.6,16.741573033707866,4.0,21.0,47.0,30.0,11.0,457.0,0.0,70.0,133.0,6,111,0,22,37.2,24.6,9.1,-1.9,7.397260273972603,6.301369863013699,16.43835616438356,7.671232876712329,7,0,10.09835616438356,
2015,912.5999999999999,16.4,3.0,37.0,31.0,13.0,6.0,186.0,82.0,82.0,159.0,8,119,0,22,35.5,24.6,10.5,-3.6,8.767123287671232,5.7534246575342465,14.520547945205479,15.616438356164384,14,0,10.725479452054795,
2016,1145.7,14.1625,6.0,20.0,38.0,19.0,6.0,238.0,0.0,74.0,127.0,6,120,0,26,36.5,24.1,10.0,-2.5,9.836065573770492,10.10928961748634,12.021857923497267,9.562841530054644,0,0,10.096448087431693,
2017,1150.3000000000002,15.86111111111111,3.0,40.0,39.0,23.0,6.0,237.0,82.0,82.0,120.0,3,118,0,31,36.0,24.4,9.0,-2.2,5.7534246575342465,5.47945205479452,20.82191780821918,15.616438356164384,11,0,10.053972602739726,
2018,1366.4,17.88157894736842,4.0,23.0,39.0,24.0,9.0,534.0,202.0,108.0,146.5,6,129,0,19,36.4,23.4,8.7,-2.9,6.8493150684931505,6.575342465753424,15.890410958904111,12.32876712328767,0,0,10.143287671232876,
2019,1051.0,15.25,6.0,20.0,31.0,15.0,6.0,300.0,113.0,113.0,129.0,11,107,0,27,37.7,23.2,8.5,-3.8,10.41095890410959,7.671232876712329,13.972602739726028,13.424657534246576,0,0,10.513150684931507,
2020,805.4,14.753703703703705,3.0,29.0,24.0,15.0,6.0,99.0,0.0,52.0,109.2,10,121,0,19,35.0,23.3,9.5,-1.6,11.748633879781421,4.918032786885246,13.387978142076504,10.92896174863388,0,0,10.971311475409836,
2021,750.5,14.188461538461537,4.0,25.0,25.0,14.0,1.0,53.0,0.0,53.0,99.5,7,123,0,21,36.8,24.3,8.5,-2.3,9.863013698630137,4.931506849315069,12.876712328767123,10.136986301369863,0,6,10.730136986301371,
2022,579.9,10.200000000000001,8.0,36.0,22.0,8.0,1.0,0.0,0.0,45.0,80.0,14,126,0,31,41.0,25.4,9.7,-2.4,13.424657534246576,5.47945205479452,11.506849315068493,14.794520547945206,12,0,11.601369863013698,
2023,903.6,15.418965517241379,4.0,38.0,22.0,14.0,6.0,386.20000000000005,88.5,88.5,155.7,7,135,0,39,39.5,27.0,9.9,-2.5,8.21917808219178,4.383561643835616,19.726027397260275,19.45205479452055,27,0,10.76986301369863,
2024,1163.9,16.746376811594203,4.0,24.0,34.0,15.0,8.0,405.5,293.0,121.5,224.5,17,130,0,25,36.6,23.6,7.6,-5.7,11.202185792349727,9.836065573770492,16.120218579234972,10.92896174863388,0,8,10.666666666666666,
